City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Paris,296.15994034858795,Weekday,Private room,False,True,2.0,True,0,0,10.0,97.0,1,0.6998206055056153,0.1937093903170673,518.4789465008673,25.239380398515987,1218.6622284510793,71.60802817745319
Paris,288.23748718426697,Weekday,Private room,False,True,2.0,True,0,0,10.0,97.0,1,2.1000054433997444,0.1072206891589171,873.2169615301826,42.50790743045091,1000.5433274192944,58.79146256437844
Paris,211.3430888246808,Weekday,Private room,False,True,2.0,False,0,0,10.0,94.0,1,3.302325112770045,0.2347238165606703,444.5560767980152,21.64084001192558,902.854467379711,53.05131038847254
Paris,298.9561002889365,Weekday,Entire home/apt,False,False,2.0,False,0,1,9.0,91.0,1,0.5475666761571238,0.195996522231078,542.1420139360312,26.39129054727424,1199.184165720548,70.46350623175964
Paris,247.9261813775748,Weekday,Entire home/apt,False,False,4.0,False,0,0,7.0,82.0,1,1.1979209303289824,0.1035728515184905,406.928958394001,19.809164567612573,1070.7754966319856,62.91827230257647
Paris,527.0761487557088,Weekday,Entire home/apt,False,False,4.0,True,0,0,10.0,93.0,1,1.5432014736898958,0.5491302602196696,967.4781120214544,47.09650847222338,1095.8704340298427,64.39283920252969
Paris,193.6340758691397,Weekday,Private room,False,True,2.0,False,0,0,10.0,90.0,1,3.9981755450888623,0.4158379046163726,422.89562933657686,20.586416728644977,803.4340486048403,47.20941262317152
Paris,207.1488489141579,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,95.0,1,1.4252792256271227,0.2073865151798009,374.3677619299375,18.224096496220906,1018.1593595624598,59.82657245507063
Paris,345.0927393046882,Weekday,Entire home/apt,False,False,2.0,False,0,1,9.0,94.0,0,1.771036454085218,0.2106926013293996,623.1921299793488,30.33678288397751,1358.637365109162,79.83290238455365
Paris,741.4484108491006,Weekday,Entire home/apt,False,False,3.0,False,0,1,10.0,91.0,1,0.9738332882504028,0.1550168234560785,650.5867551852117,31.67034400755225,1372.5891746104855,80.65270424972432
Paris,350.9180725137478,Weekday,Private room,False,True,2.0,True,0,0,10.0,99.0,1,1.1022187867983728,0.2246300454231199,406.4556296155283,19.78612308217896,1059.337766696371,62.24619658840869
Paris,239.30468822816667,Weekday,Entire home/apt,False,False,2.0,False,0,1,9.0,89.0,0,1.326515258235181,0.1642500035087996,479.0067928167229,23.31788925850661,1219.494097809497,71.65690843571248
Paris,242.7998881536024,Weekday,Private room,False,True,2.0,True,1,0,10.0,99.0,1,0.6754932746879329,0.2140864502640986,734.7932167974743,35.76948618292576,1189.7942751427022,69.91176060989343
